domain,object_amount,deadline,heuristic,heuristic_label,runs_total,amount_success,success_rate,avg_success_time,std_success_time,seed,search_time,search_depth,k,selection_type,exploration_constant,discount_factor,step_penalty,reward_mode,value_mode,heuristic_depth,returncode
nasa_rover,2,25,atomic_exact_resolution,atomic_exact_resolution,2,0,0.0,-inf,-1,123,1,40,10,max,10.0,1.0,0.0,terminal,tp_mcts,25,0
nasa_rover,2,25,baseline_pdb,baseline_pdb,2,2,1.0,21,4.0,123,1,40,10,max,10.0,1.0,0.0,terminal,tp_mcts,25,0
