heuristic,heuristic_label,heuristic_name_internal,strategy_internal,domain,object_amount,deadline,reward_mode,discount_factor,step_penalty,seed,heuristic_depth,max_steps,plan_success,plan_makespan,wrapper_total_calls,wrapper_total_time_sec,wrapper_first_call_sec,wrapper_avg_call_sec,worker_total_calls,worker_total_time_sec,worker_first_call_sec,worker_avg_call_sec,worker_cache_hits,worker_cache_misses,worker_cache_hit_avg_sec,worker_cache_miss_avg_sec
baseline_admissible,baseline_admissible,temporal_probabilistic_rpg,baseline_admissible,nasa_rover,2,25,deadline,0.95,-0.05,42,25,90,True,18,713,9.261283,0.117127,0.012989,713,9.170109,0.038258,0.012861,105,608,7e-05,0.01507
baseline_admissible_resolution,baseline_admissible_resolution,temporal_probabilistic_rpg,baseline_admissible_resolution,nasa_rover,2,25,deadline,0.95,-0.05,42,25,90,False,-inf,671,10.738872,0.092456,0.016004,671,10.658041,0.024749,0.015884,57,614,5.2e-05,0.017354
baseline_admissible_resolution_forward,baseline_admissible_resolution_forward,temporal_probabilistic_rpg,baseline_admissible_resolution_forward,nasa_rover,2,25,deadline,0.95,-0.05,42,25,90,True,19,704,8.962029,0.111093,0.01273,704,8.860685,0.025104,0.012586,51,653,4.5e-05,0.013566
